Loan_duration,Credit_history,Purpose,Credit_amount,Savings_status,Employment_length,Installment_commitment,Personal_status,Residence_since,Property_magnitude,Age,Other_payment_plans,House_ownership,Existing_credits,Job,Num_dependents,Class
24.0,existing paid,used car,2760.0,0.0,7.0,4.0,male single,4.0,no known property,36.0,bank,for free,1.0,skilled,1.0,1
18.0,delayed previously,furniture/equipment,4297.0,50.0,7.0,4.0,male div/sep,3.0,no known property,40.0,none,own,1.0,high qualif/self emp/mgmt,1.0,0
9.0,critical/other existing credit,education,936.0,750.0,7.0,4.0,male single,2.0,car,52.0,none,own,2.0,skilled,1.0,1
12.0,existing paid,new car,1168.0,50.0,2.5,4.0,male mar/wid,3.0,real estate,27.0,none,own,1.0,unskilled resident,1.0,1
27.0,delayed previously,business,5117.0,50.0,5.5,3.0,male single,4.0,car,26.0,none,own,2.0,skilled,1.0,1
12.0,existing paid,retraining,902.0,50.0,5.5,4.0,male mar/wid,4.0,life insurance,21.0,none,rent,1.0,skilled,1.0,0
12.0,critical/other existing credit,new car,1495.0,50.0,7.0,4.0,male single,1.0,real estate,38.0,none,own,2.0,unskilled resident,2.0,1
30.0,critical/other existing credit,used car,10623.0,50.0,7.0,3.0,male single,4.0,no known property,38.0,none,for free,3.0,high qualif/self emp/mgmt,2.0,1
12.0,critical/other existing credit,furniture/equipment,1935.0,50.0,7.0,4.0,male single,4.0,real estate,43.0,none,own,3.0,skilled,1.0,1
12.0,critical/other existing credit,domestic appliance,1424.0,50.0,5.5,4.0,male single,3.0,life insurance,26.0,none,own,1.0,skilled,1.0,1
24.0,existing paid,business,6568.0,50.0,2.5,2.0,male mar/wid,2.0,car,21.0,stores,own,1.0,unskilled resident,1.0,1
12.0,existing paid,used car,1413.0,1000.0,5.5,3.0,male single,2.0,life insurance,55.0,none,own,1.0,skilled,1.0,1
9.0,critical/other existing credit,radio/tv,3074.0,0.0,2.5,1.0,male single,2.0,real estate,33.0,none,own,2.0,skilled,2.0,1
36.0,existing paid,radio/tv,3835.0,0.0,7.0,2.0,female div/dep/mar,4.0,real estate,45.0,none,own,1.0,unskilled resident,1.0,1
27.0,no credits/all paid,business,5293.0,50.0,0.0,2.0,male single,4.0,life insurance,50.0,stores,own,2.0,skilled,1.0,0
30.0,delayed previously,business,1908.0,50.0,7.0,4.0,male single,4.0,real estate,66.0,none,own,1.0,high qualif/self emp/mgmt,1.0,0
36.0,critical/other existing credit,radio/tv,3342.0,0.0,7.0,4.0,male single,2.0,car,51.0,none,own,1.0,skilled,1.0,1
6.0,critical/other existing credit,retraining,932.0,0.0,5.5,1.0,female div/dep/mar,3.0,life insurance,39.0,none,own,2.0,unskilled resident,1.0,1
18.0,no credits/all paid,business,3104.0,50.0,5.5,3.0,male single,1.0,life insurance,31.0,bank,own,1.0,skilled,1.0,1
36.0,existing paid,radio/tv,3913.0,50.0,2.5,2.0,male single,2.0,real estate,23.0,none,own,1.0,skilled,1.0,1
24.0,existing paid,furniture/equipment,3021.0,50.0,2.5,2.0,male div/sep,2.0,real estate,24.0,none,rent,1.0,unskilled resident,1.0,1
10.0,existing paid,new car,1364.0,50.0,2.5,2.0,female div/dep/mar,4.0,car,64.0,none,own,1.0,skilled,1.0,1
12.0,existing paid,radio/tv,625.0,50.0,0.5,4.0,male mar/wid,1.0,real estate,26.0,bank,own,1.0,unskilled resident,1.0,1
12.0,existing paid,education,1200.0,0.0,2.5,4.0,female div/dep/mar,4.0,life insurance,23.0,bank,rent,1.0,skilled,1.0,1
12.0,existing paid,radio/tv,707.0,50.0,2.5,4.0,male single,2.0,real estate,30.0,bank,own,2.0,skilled,1.0,1
24.0,delayed previously,business,2978.0,0.0,2.5,4.0,male single,4.0,real estate,32.0,none,own,2.0,skilled,2.0,1
15.0,existing paid,used car,4657.0,50.0,2.5,3.0,male single,2.0,car,30.0,none,own,1.0,skilled,1.0,1
36.0,no credits/all paid,repairs,2613.0,50.0,2.5,4.0,male single,2.0,car,27.0,none,own,2.0,skilled,1.0,1
48.0,existing paid,radio/tv,10961.0,1000.0,5.5,1.0,male single,2.0,no known property,27.0,bank,own,2.0,skilled,1.0,0
12.0,existing paid,furniture/equipment,7865.0,50.0,7.0,4.0,male single,4.0,no known property,53.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,0
9.0,existing paid,radio/tv,1478.0,50.0,5.5,4.0,male single,2.0,car,22.0,none,own,1.0,skilled,1.0,0
24.0,existing paid,furniture/equipment,3149.0,50.0,0.5,4.0,male single,1.0,no known property,22.0,bank,for free,1.0,skilled,1.0,1
36.0,existing paid,radio/tv,4210.0,50.0,2.5,4.0,male single,2.0,car,26.0,none,own,1.0,skilled,1.0,0
9.0,existing paid,new car,2507.0,750.0,7.0,2.0,male single,4.0,no known property,51.0,none,for free,1.0,unskilled resident,1.0,1
12.0,existing paid,radio/tv,2141.0,300.0,5.5,3.0,male single,1.0,no known property,35.0,none,own,1.0,skilled,1.0,1
18.0,existing paid,radio/tv,866.0,50.0,2.5,4.0,male mar/wid,2.0,real estate,25.0,none,own,1.0,unskilled resident,1.0,1
4.0,critical/other existing credit,radio/tv,1544.0,50.0,5.5,2.0,male single,1.0,real estate,42.0,none,own,3.0,unskilled resident,2.0,1
24.0,existing paid,radio/tv,1823.0,50.0,0.0,4.0,male single,2.0,car,30.0,stores,own,1.0,high qualif/self emp/mgmt,2.0,0
6.0,existing paid,new car,14555.0,0.0,0.0,1.0,male single,2.0,life insurance,23.0,none,own,1.0,unemp/unskilled non res,1.0,0
21.0,existing paid,business,2767.0,300.0,7.0,4.0,male div/sep,2.0,car,61.0,bank,rent,2.0,unskilled resident,1.0,0
12.0,critical/other existing credit,radio/tv,1291.0,50.0,2.5,4.0,female div/dep/mar,2.0,life insurance,35.0,none,own,2.0,skilled,1.0,1
30.0,existing paid,radio/tv,2522.0,50.0,7.0,1.0,male single,3.0,life insurance,39.0,none,own,1.0,skilled,2.0,1
24.0,existing paid,new car,915.0,0.0,7.0,4.0,female div/dep/mar,2.0,car,29.0,bank,own,1.0,skilled,1.0,0
6.0,existing paid,radio/tv,1595.0,50.0,5.5,3.0,male single,2.0,life insurance,51.0,none,own,1.0,skilled,2.0,1
48.0,no credits/all paid,used car,4605.0,50.0,7.0,3.0,male single,4.0,no known property,24.0,none,for free,2.0,skilled,2.0,0
12.0,critical/other existing credit,business,1185.0,50.0,2.5,3.0,female div/dep/mar,2.0,real estate,27.0,none,own,2.0,skilled,1.0,1
12.0,all paid,retraining,3447.0,750.0,2.5,4.0,female div/dep/mar,3.0,real estate,35.0,none,own,1.0,unskilled resident,2.0,1
24.0,existing paid,business,1258.0,50.0,5.5,4.0,male single,1.0,real estate,25.0,none,own,1.0,skilled,1.0,1
12.0,critical/other existing credit,radio/tv,717.0,50.0,7.0,4.0,male single,4.0,real estate,52.0,none,own,3.0,skilled,1.0,1
6.0,no credits/all paid,new car,1204.0,300.0,2.5,4.0,male single,1.0,no known property,35.0,bank,rent,1.0,skilled,1.0,1
24.0,existing paid,furniture/equipment,1925.0,50.0,2.5,2.0,male single,2.0,real estate,26.0,none,own,1.0,skilled,1.0,1
18.0,existing paid,radio/tv,433.0,50.0,0.0,3.0,female div/dep/mar,4.0,real estate,22.0,none,rent,1.0,skilled,1.0,0
6.0,critical/other existing credit,new car,666.0,1000.0,5.5,3.0,female div/dep/mar,4.0,real estate,39.0,none,own,2.0,unskilled resident,1.0,1
12.0,existing paid,furniture/equipment,2251.0,50.0,2.5,1.0,female div/dep/mar,2.0,car,46.0,none,own,1.0,unskilled resident,1.0,1
30.0,existing paid,new car,2150.0,50.0,2.5,4.0,female div/dep/mar,2.0,no known property,24.0,bank,own,1.0,skilled,1.0,0
24.0,delayed previously,furniture/equipment,4151.0,300.0,2.5,2.0,male single,3.0,life insurance,35.0,none,own,2.0,skilled,1.0,1
9.0,existing paid,furniture/equipment,2030.0,0.0,5.5,2.0,male single,1.0,car,24.0,none,own,1.0,skilled,1.0,1
60.0,delayed previously,radio/tv,7418.0,0.0,2.5,1.0,male single,1.0,real estate,27.0,none,own,1.0,unskilled resident,1.0,1
24.0,critical/other existing credit,radio/tv,2684.0,50.0,2.5,4.0,male single,2.0,real estate,35.0,none,own,2.0,unskilled resident,1.0,1
12.0,all paid,radio/tv,2149.0,50.0,2.5,4.0,male div/sep,1.0,no known property,29.0,none,for free,1.0,skilled,1.0,0
15.0,existing paid,used car,3812.0,300.0,0.5,1.0,female div/dep/mar,4.0,car,23.0,none,own,1.0,skilled,1.0,1
11.0,critical/other existing credit,radio/tv,1154.0,300.0,0.0,4.0,female div/dep/mar,4.0,real estate,57.0,none,own,3.0,unskilled resident,1.0,1
12.0,existing paid,furniture/equipment,1657.0,50.0,2.5,2.0,male single,2.0,real estate,27.0,none,own,1.0,skilled,1.0,1
24.0,existing paid,radio/tv,1603.0,50.0,7.0,4.0,female div/dep/mar,4.0,car,55.0,none,own,1.0,skilled,1.0,1
18.0,critical/other existing credit,new car,5302.0,50.0,7.0,2.0,male single,4.0,no known property,36.0,none,for free,3.0,high qualif/self emp/mgmt,1.0,1
12.0,critical/other existing credit,education,2748.0,50.0,7.0,2.0,female div/dep/mar,4.0,no known property,57.0,bank,for free,3.0,unskilled resident,1.0,1
10.0,critical/other existing credit,new car,1231.0,50.0,7.0,3.0,male single,4.0,real estate,32.0,none,own,2.0,unskilled resident,2.0,1
15.0,existing paid,radio/tv,802.0,50.0,7.0,4.0,male single,3.0,car,37.0,none,own,1.0,skilled,2.0,0
36.0,critical/other existing credit,business,6304.0,0.0,7.0,4.0,male single,4.0,real estate,36.0,none,own,2.0,skilled,1.0,1
24.0,existing paid,radio/tv,1533.0,50.0,0.5,4.0,female div/dep/mar,3.0,car,38.0,stores,own,1.0,skilled,1.0,1
14.0,existing paid,new car,8978.0,50.0,7.0,1.0,male div/sep,4.0,life insurance,45.0,none,own,1.0,high qualif/self emp/mgmt,1.0,0
24.0,existing paid,radio/tv,999.0,0.0,7.0,4.0,male single,2.0,car,25.0,none,own,2.0,skilled,1.0,1
18.0,existing paid,new car,2662.0,0.0,5.5,4.0,male single,3.0,life insurance,32.0,none,own,1.0,skilled,1.0,1
12.0,critical/other existing credit,furniture/equipment,1402.0,750.0,5.5,3.0,female div/dep/mar,4.0,car,37.0,none,rent,1.0,skilled,1.0,1
48.0,all paid,new car,12169.0,0.0,0.0,4.0,male single,4.0,no known property,36.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,1
48.0,existing paid,radio/tv,3060.0,50.0,5.5,4.0,male single,4.0,real estate,28.0,none,own,2.0,skilled,1.0,0
30.0,existing paid,repairs,11998.0,50.0,0.5,1.0,male div/sep,1.0,no known property,34.0,none,own,1.0,unskilled resident,1.0,0
9.0,existing paid,radio/tv,2697.0,50.0,2.5,1.0,male single,2.0,real estate,32.0,none,own,1.0,skilled,2.0,1
18.0,critical/other existing credit,radio/tv,2404.0,50.0,2.5,2.0,female div/dep/mar,2.0,car,26.0,none,own,2.0,skilled,1.0,1
12.0,existing paid,furniture/equipment,1262.0,0.0,7.0,2.0,male div/sep,4.0,life insurance,49.0,none,own,1.0,unskilled resident,1.0,1
6.0,existing paid,furniture/equipment,4611.0,50.0,0.5,1.0,female div/dep/mar,4.0,life insurance,32.0,none,own,1.0,skilled,1.0,0
24.0,existing paid,radio/tv,1901.0,300.0,2.5,4.0,male single,4.0,car,29.0,none,rent,1.0,high qualif/self emp/mgmt,1.0,1
15.0,critical/other existing credit,used car,3368.0,1000.0,7.0,3.0,male single,4.0,no known property,23.0,none,rent,2.0,skilled,1.0,1
12.0,existing paid,furniture/equipment,1574.0,50.0,2.5,4.0,male single,2.0,real estate,50.0,none,own,1.0,skilled,1.0,1
18.0,all paid,radio/tv,1445.0,0.0,5.5,4.0,male single,4.0,car,49.0,bank,own,1.0,unskilled resident,1.0,1
15.0,critical/other existing credit,furniture/equipment,1520.0,0.0,7.0,4.0,male single,4.0,life insurance,63.0,none,own,1.0,skilled,1.0,1
24.0,critical/other existing credit,new car,3878.0,300.0,0.5,4.0,male div/sep,2.0,car,37.0,none,own,1.0,skilled,1.0,1
47.0,existing paid,new car,10722.0,50.0,0.5,1.0,female div/dep/mar,1.0,real estate,35.0,none,own,1.0,unskilled resident,1.0,1
48.0,existing paid,used car,4788.0,50.0,5.5,4.0,male single,3.0,life insurance,26.0,none,own,1.0,skilled,2.0,1
48.0,delayed previously,other,7582.0,300.0,0.0,2.0,male single,4.0,no known property,31.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,1
12.0,existing paid,radio/tv,1092.0,50.0,2.5,4.0,female div/dep/mar,4.0,real estate,49.0,none,own,2.0,skilled,1.0,1
24.0,delayed previously,radio/tv,1024.0,50.0,0.5,4.0,male mar/wid,4.0,real estate,48.0,stores,own,1.0,skilled,1.0,0
12.0,existing paid,business,1076.0,50.0,2.5,2.0,male mar/wid,2.0,real estate,26.0,none,own,1.0,skilled,1.0,1
36.0,existing paid,used car,9398.0,50.0,0.5,1.0,male mar/wid,4.0,car,28.0,none,rent,1.0,high qualif/self emp/mgmt,1.0,0
24.0,critical/other existing credit,used car,6419.0,50.0,7.0,2.0,female div/dep/mar,4.0,no known property,44.0,none,for free,2.0,high qualif/self emp/mgmt,2.0,1
42.0,critical/other existing credit,used car,4796.0,50.0,7.0,4.0,male single,4.0,no known property,56.0,none,for free,1.0,skilled,1.0,1
48.0,critical/other existing credit,business,7629.0,0.0,7.0,4.0,male div/sep,2.0,car,46.0,bank,own,2.0,high qualif/self emp/mgmt,2.0,1
48.0,existing paid,furniture/equipment,9960.0,50.0,0.5,1.0,female div/dep/mar,2.0,car,26.0,none,own,1.0,skilled,1.0,0
12.0,existing paid,used car,4675.0,0.0,0.5,1.0,female div/dep/mar,4.0,car,20.0,none,rent,1.0,skilled,1.0,1
10.0,existing paid,new car,1287.0,0.0,7.0,4.0,male single,2.0,life insurance,45.0,none,own,1.0,unskilled resident,1.0,1
18.0,existing paid,furniture/equipment,2515.0,50.0,2.5,3.0,male single,4.0,real estate,43.0,none,own,1.0,skilled,1.0,1
21.0,critical/other existing credit,furniture/equipment,2745.0,1000.0,5.5,3.0,male single,2.0,car,32.0,none,own,2.0,skilled,1.0,1
6.0,existing paid,new car,672.0,50.0,0.0,1.0,female div/dep/mar,4.0,real estate,54.0,none,own,1.0,unemp/unskilled non res,1.0,1
36.0,no credits/all paid,radio/tv,3804.0,50.0,2.5,4.0,female div/dep/mar,1.0,car,42.0,none,own,1.0,skilled,1.0,0
24.0,critical/other existing credit,new car,1344.0,0.0,5.5,4.0,male single,2.0,real estate,37.0,bank,own,2.0,unskilled resident,2.0,0
10.0,critical/other existing credit,new car,1038.0,50.0,5.5,4.0,male single,3.0,life insurance,49.0,none,own,2.0,skilled,1.0,1
48.0,critical/other existing credit,new car,10127.0,750.0,2.5,2.0,male single,2.0,no known property,44.0,bank,for free,1.0,skilled,1.0,0
6.0,existing paid,furniture/equipment,1543.0,1000.0,2.5,4.0,male div/sep,2.0,real estate,33.0,none,own,1.0,skilled,1.0,1
30.0,existing paid,used car,4811.0,0.0,5.5,2.0,female div/dep/mar,4.0,life insurance,24.0,stores,rent,1.0,unskilled resident,1.0,1
12.0,existing paid,radio/tv,727.0,300.0,0.5,4.0,male mar/wid,3.0,no known property,33.0,none,own,1.0,unskilled resident,1.0,0
8.0,existing paid,furniture/equipment,1237.0,50.0,2.5,3.0,female div/dep/mar,4.0,real estate,24.0,none,own,1.0,skilled,1.0,0
9.0,existing paid,new car,276.0,50.0,2.5,4.0,male mar/wid,4.0,real estate,22.0,none,rent,1.0,unskilled resident,1.0,1
48.0,existing paid,other,5381.0,0.0,0.0,3.0,male single,4.0,no known property,40.0,bank,for free,1.0,unemp/unskilled non res,1.0,1
24.0,existing paid,furniture/equipment,5511.0,300.0,2.5,4.0,male single,1.0,car,25.0,stores,own,1.0,skilled,1.0,1
24.0,existing paid,furniture/equipment,3749.0,50.0,0.5,2.0,female div/dep/mar,4.0,car,26.0,none,own,1.0,skilled,1.0,1
12.0,existing paid,new car,685.0,50.0,5.5,2.0,male mar/wid,3.0,car,25.0,bank,own,1.0,unskilled resident,1.0,0
4.0,existing paid,new car,1494.0,0.0,0.5,1.0,male single,2.0,real estate,29.0,none,own,1.0,unskilled resident,2.0,1
36.0,all paid,furniture/equipment,2746.0,50.0,7.0,4.0,male single,4.0,car,31.0,bank,own,1.0,skilled,1.0,0
12.0,existing paid,furniture/equipment,708.0,50.0,2.5,2.0,male single,3.0,life insurance,38.0,none,own,1.0,unskilled resident,2.0,1
24.0,existing paid,furniture/equipment,4351.0,0.0,2.5,1.0,female div/dep/mar,4.0,life insurance,48.0,none,own,1.0,unskilled resident,1.0,1
12.0,critical/other existing credit,education,701.0,50.0,2.5,4.0,male single,2.0,car,32.0,none,own,2.0,skilled,1.0,1
15.0,delayed previously,furniture/equipment,3643.0,50.0,7.0,1.0,female div/dep/mar,4.0,life insurance,27.0,none,own,2.0,unskilled resident,1.0,1
30.0,critical/other existing credit,new car,4249.0,50.0,0.0,4.0,male mar/wid,2.0,car,28.0,none,own,2.0,high qualif/self emp/mgmt,1.0,0
24.0,existing paid,radio/tv,1938.0,50.0,0.5,4.0,male div/sep,3.0,life insurance,32.0,none,own,1.0,skilled,1.0,0
24.0,existing paid,used car,2910.0,50.0,5.5,2.0,male single,1.0,no known property,34.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,1
18.0,existing paid,furniture/equipment,2659.0,1000.0,2.5,4.0,male single,2.0,car,28.0,none,own,1.0,skilled,1.0,1
18.0,critical/other existing credit,new car,1028.0,50.0,2.5,4.0,female div/dep/mar,3.0,real estate,36.0,none,own,2.0,skilled,1.0,1
8.0,critical/other existing credit,new car,3398.0,50.0,5.5,1.0,male single,4.0,real estate,39.0,none,own,2.0,unskilled resident,1.0,1
12.0,critical/other existing credit,furniture/equipment,5801.0,0.0,7.0,2.0,male single,4.0,life insurance,49.0,none,rent,1.0,skilled,1.0,1
24.0,existing paid,new car,1525.0,1000.0,5.5,4.0,female div/dep/mar,3.0,car,34.0,none,own,1.0,skilled,2.0,1
36.0,existing paid,radio/tv,4473.0,50.0,7.0,4.0,male single,2.0,car,31.0,none,own,1.0,skilled,1.0,1
6.0,existing paid,radio/tv,1068.0,50.0,7.0,4.0,male single,4.0,car,28.0,none,own,1.0,skilled,2.0,1
24.0,critical/other existing credit,used car,6615.0,50.0,0.0,2.0,male single,4.0,no known property,75.0,none,for free,2.0,high qualif/self emp/mgmt,1.0,1
18.0,critical/other existing credit,education,1864.0,300.0,2.5,4.0,female div/dep/mar,2.0,real estate,30.0,none,own,2.0,skilled,1.0,0
60.0,existing paid,new car,7408.0,300.0,0.5,4.0,female div/dep/mar,2.0,life insurance,24.0,none,own,1.0,high qualif/self emp/mgmt,1.0,0
48.0,critical/other existing credit,used car,11590.0,300.0,2.5,2.0,female div/dep/mar,4.0,car,24.0,bank,rent,2.0,unskilled resident,1.0,0
24.0,no credits/all paid,furniture/equipment,4110.0,50.0,7.0,3.0,male single,4.0,no known property,23.0,bank,rent,2.0,skilled,2.0,0
6.0,critical/other existing credit,furniture/equipment,3384.0,50.0,2.5,1.0,male div/sep,4.0,real estate,44.0,none,rent,1.0,high qualif/self emp/mgmt,1.0,0
13.0,existing paid,radio/tv,2101.0,50.0,0.5,2.0,female div/dep/mar,4.0,life insurance,23.0,none,own,1.0,unskilled resident,1.0,1
15.0,existing paid,domestic appliance,1275.0,0.0,2.5,4.0,female div/dep/mar,2.0,car,24.0,none,rent,1.0,skilled,1.0,0
24.0,existing paid,furniture/equipment,4169.0,50.0,2.5,4.0,male single,4.0,life insurance,28.0,none,own,1.0,skilled,1.0,1
10.0,existing paid,furniture/equipment,1521.0,50.0,2.5,4.0,male div/sep,2.0,car,31.0,none,own,1.0,unskilled resident,1.0,1
24.0,critical/other existing credit,education,5743.0,50.0,0.5,2.0,female div/dep/mar,4.0,no known property,24.0,none,for free,2.0,skilled,1.0,1
21.0,existing paid,furniture/equipment,3599.0,50.0,5.5,1.0,female div/dep/mar,4.0,car,26.0,none,rent,1.0,unskilled resident,1.0,1
18.0,existing paid,radio/tv,3213.0,750.0,0.5,1.0,male mar/wid,3.0,real estate,25.0,none,rent,1.0,skilled,1.0,1
18.0,existing paid,business,4439.0,50.0,7.0,1.0,male single,1.0,real estate,33.0,bank,own,1.0,high qualif/self emp/mgmt,1.0,1
10.0,existing paid,new car,3949.0,50.0,0.5,1.0,male single,1.0,life insurance,37.0,none,own,1.0,unskilled resident,2.0,1
15.0,critical/other existing credit,radio/tv,1459.0,50.0,2.5,4.0,female div/dep/mar,2.0,car,43.0,none,own,1.0,unskilled resident,1.0,1
13.0,critical/other existing credit,radio/tv,882.0,50.0,0.5,4.0,male single,4.0,real estate,23.0,none,own,2.0,skilled,1.0,1
24.0,existing paid,radio/tv,3758.0,750.0,0.0,1.0,female div/dep/mar,4.0,no known property,23.0,none,rent,1.0,unemp/unskilled non res,1.0,1
6.0,delayed previously,business,1743.0,300.0,2.5,1.0,male single,2.0,real estate,34.0,none,own,2.0,unskilled resident,1.0,1
9.0,critical/other existing credit,education,1136.0,1000.0,7.0,4.0,male single,3.0,no known property,32.0,none,for free,2.0,skilled,2.0,0
9.0,existing paid,domestic appliance,1236.0,50.0,0.5,1.0,female div/dep/mar,4.0,real estate,23.0,none,rent,1.0,skilled,1.0,1
9.0,existing paid,furniture/equipment,959.0,50.0,2.5,1.0,female div/dep/mar,2.0,car,29.0,none,own,1.0,skilled,1.0,0
18.0,critical/other existing credit,used car,3229.0,0.0,0.0,2.0,male single,4.0,no known property,38.0,none,own,1.0,high qualif/self emp/mgmt,1.0,1
12.0,no credits/all paid,radio/tv,6199.0,50.0,2.5,4.0,male single,2.0,life insurance,28.0,none,rent,2.0,skilled,1.0,0
10.0,existing paid,education,727.0,750.0,7.0,4.0,male single,4.0,no known property,46.0,none,for free,1.0,skilled,1.0,1
24.0,existing paid,new car,1246.0,50.0,0.5,4.0,male single,2.0,real estate,23.0,stores,own,1.0,unskilled resident,1.0,0
12.0,critical/other existing credit,radio/tv,2331.0,0.0,7.0,1.0,male single,4.0,real estate,49.0,none,own,1.0,skilled,1.0,1
36.0,delayed previously,radio/tv,4463.0,50.0,2.5,4.0,male single,2.0,car,26.0,none,own,2.0,high qualif/self emp/mgmt,1.0,0
12.0,existing paid,radio/tv,776.0,50.0,2.5,4.0,male mar/wid,2.0,real estate,28.0,none,own,1.0,skilled,1.0,1
30.0,existing paid,furniture/equipment,2406.0,50.0,5.5,4.0,female div/dep/mar,4.0,real estate,23.0,none,rent,1.0,skilled,1.0,0
18.0,existing paid,education,1239.0,0.0,2.5,4.0,male single,4.0,no known property,61.0,none,for free,1.0,skilled,1.0,1
12.0,existing paid,radio/tv,3399.0,0.0,7.0,2.0,male single,3.0,car,37.0,none,own,1.0,high qualif/self emp/mgmt,1.0,1
12.0,delayed previously,new car,2247.0,50.0,2.5,2.0,female div/dep/mar,2.0,car,36.0,stores,own,2.0,skilled,1.0,1
6.0,existing paid,furniture/equipment,1766.0,50.0,2.5,1.0,male mar/wid,2.0,life insurance,21.0,none,rent,1.0,skilled,1.0,1
18.0,existing paid,furniture/equipment,2473.0,50.0,0.0,4.0,male single,1.0,car,25.0,none,own,1.0,unemp/unskilled non res,1.0,0
12.0,existing paid,business,1542.0,50.0,5.5,2.0,male single,4.0,car,36.0,none,own,1.0,skilled,1.0,1
18.0,critical/other existing credit,used car,3850.0,50.0,5.5,3.0,male single,1.0,car,27.0,none,own,2.0,skilled,1.0,1
18.0,existing paid,furniture/equipment,3650.0,50.0,0.5,1.0,female div/dep/mar,4.0,car,22.0,none,rent,1.0,skilled,1.0,1
36.0,existing paid,furniture/equipment,3446.0,50.0,7.0,4.0,male single,2.0,car,42.0,none,own,1.0,skilled,2.0,0
18.0,existing paid,furniture/equipment,3001.0,50.0,5.5,2.0,female div/dep/mar,4.0,real estate,40.0,none,rent,1.0,skilled,1.0,1
36.0,existing paid,new car,3079.0,0.0,2.5,4.0,male single,4.0,real estate,36.0,none,own,1.0,skilled,1.0,1
18.0,critical/other existing credit,radio/tv,6070.0,50.0,7.0,3.0,male single,4.0,car,33.0,none,own,2.0,skilled,1.0,1
10.0,critical/other existing credit,furniture/equipment,2146.0,50.0,0.5,1.0,female div/dep/mar,3.0,real estate,23.0,none,rent,2.0,skilled,1.0,1
60.0,critical/other existing credit,new car,13756.0,0.0,7.0,2.0,male single,4.0,no known property,63.0,bank,for free,1.0,high qualif/self emp/mgmt,1.0,1
60.0,all paid,other,14782.0,300.0,7.0,3.0,female div/dep/mar,4.0,no known property,60.0,bank,for free,2.0,high qualif/self emp/mgmt,1.0,0
48.0,all paid,business,7685.0,50.0,5.5,2.0,female div/dep/mar,4.0,car,37.0,none,rent,1.0,skilled,1.0,0
18.0,delayed previously,radio/tv,2320.0,50.0,0.0,2.0,male mar/wid,3.0,real estate,34.0,none,own,2.0,skilled,1.0,1
7.0,delayed previously,radio/tv,846.0,0.0,7.0,3.0,male single,4.0,no known property,36.0,none,for free,1.0,skilled,1.0,1
36.0,existing paid,new car,14318.0,50.0,7.0,4.0,male single,2.0,no known property,57.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,0
6.0,critical/other existing credit,new car,362.0,300.0,2.5,4.0,female div/dep/mar,4.0,car,52.0,none,own,2.0,unskilled resident,1.0,1
20.0,existing paid,furniture/equipment,2212.0,0.0,5.5,4.0,male single,4.0,car,39.0,none,own,1.0,skilled,1.0,1
18.0,existing paid,used car,12976.0,50.0,0.0,3.0,female div/dep/mar,4.0,no known property,38.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,0
22.0,existing paid,new car,1283.0,0.0,5.5,4.0,female div/dep/mar,4.0,life insurance,25.0,none,rent,1.0,skilled,1.0,1
12.0,existing paid,new car,1330.0,50.0,0.5,4.0,male single,1.0,real estate,26.0,none,own,1.0,skilled,1.0,1
30.0,delayed previously,business,4272.0,300.0,2.5,2.0,male single,2.0,life insurance,26.0,none,own,2.0,unskilled resident,1.0,1
18.0,critical/other existing credit,radio/tv,2238.0,50.0,2.5,2.0,female div/dep/mar,1.0,car,25.0,none,own,2.0,skilled,1.0,1
18.0,existing paid,radio/tv,1126.0,0.0,0.5,4.0,female div/dep/mar,2.0,real estate,21.0,none,rent,1.0,skilled,1.0,1
18.0,critical/other existing credit,furniture/equipment,7374.0,50.0,0.0,4.0,male single,4.0,life insurance,40.0,stores,own,2.0,high qualif/self emp/mgmt,1.0,1
15.0,critical/other existing credit,business,2326.0,750.0,2.5,2.0,male single,4.0,car,27.0,bank,own,1.0,skilled,1.0,1
9.0,existing paid,business,1449.0,50.0,5.5,3.0,female div/dep/mar,2.0,car,27.0,none,own,2.0,skilled,1.0,1
18.0,existing paid,new car,1820.0,50.0,2.5,2.0,male mar/wid,2.0,life insurance,30.0,none,own,1.0,high qualif/self emp/mgmt,1.0,1
12.0,existing paid,furniture/equipment,983.0,1000.0,0.5,1.0,female div/dep/mar,4.0,real estate,19.0,none,rent,1.0,unskilled resident,1.0,1
36.0,existing paid,new car,3249.0,50.0,5.5,2.0,male single,4.0,no known property,39.0,bank,for free,1.0,high qualif/self emp/mgmt,2.0,1
6.0,critical/other existing credit,radio/tv,1957.0,50.0,5.5,1.0,female div/dep/mar,4.0,car,31.0,none,own,1.0,skilled,1.0,1
9.0,critical/other existing credit,furniture/equipment,2406.0,50.0,0.0,2.0,male single,3.0,car,31.0,none,own,1.0,high qualif/self emp/mgmt,1.0,1
39.0,delayed previously,education,11760.0,300.0,5.5,2.0,male single,3.0,no known property,32.0,none,rent,1.0,skilled,1.0,1
